date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:52:34	109/109	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2020%20Aug%202021%2018:22:34%20GMT	https://www.gymbox.com/robots.txt		(from )
23:52:34	105742/105742	---MCZ	200	added ('OK')	text/html	date:Fri,%2020%20Aug%202021%2018:22:34%20GMT	https://www.gymbox.com/	A:/work/clone/www.gymbox.com/index.html	(from )
23:52:34	8646/8646	---M--	200	added ('OK')	image/png	etag:%2261111c18-21c6%22	https://www.gymbox.com/static/images/favicon.png	A:/work/clone/www.gymbox.com/static/images/favicon.png	(from https://www.gymbox.com/)
23:52:35	165/165	---MC-	401	error ('Unauthorized')	text/html	date:Fri,%2020%20Aug%202021%2018:22:35%20GMT	https://staging.gymbox.com/static/images/share.png	A:/work/clone/staging.gymbox.com/static/images/share.1.delayed	(from https://www.gymbox.com/)
23:52:35	95872/95872	---MCZ	200	added ('OK')	text/css	etag:W/%2261111cb2-17817%22	https://www.gymbox.com/build/app.css?v=0.10.139	A:/work/clone/www.gymbox.com/build/app60ed.css	(from https://www.gymbox.com/)
23:52:36	33044/33044	---MCZ	200	added ('OK')	text/css	etag:%221d440fceafe225711754ced27a6c889e%22	https://api.tiles.mapbox.com/mapbox-gl-js/v1.5.0/mapbox-gl.css	A:/work/clone/api.tiles.mapbox.com/mapbox-gl-js/v1.5.0/mapbox-gl.css	(from https://www.gymbox.com/)
23:52:36	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Fri,%2020%20Aug%202021%2018:22:37%20GMT	https://www.googletagmanager.com/gtm.js?id=	A:/work/clone/www.googletagmanager.com/gtm.45445.delayed	(from https://www.gymbox.com/)
23:52:38	99420/99420	---MCZ	200	added ('OK')	text/html	date:Fri,%2020%20Aug%202021%2018:22:38%20GMT	https://www.gymbox.com/categories	A:/work/clone/www.gymbox.com/categories.html	(from https://www.gymbox.com/)
23:52:38	118603/118603	---MCZ	200	added ('OK')	text/html	date:Fri,%2020%20Aug%202021%2018:22:38%20GMT	https://www.gymbox.com/gyms	A:/work/clone/www.gymbox.com/gyms.html	(from https://www.gymbox.com/)
23:52:40	100698/100698	---MCZ	200	added ('OK')	text/html	date:Fri,%2020%20Aug%202021%2018:22:40%20GMT	https://www.gymbox.com/timetable	A:/work/clone/www.gymbox.com/timetable.html	(from https://www.gymbox.com/)
23:52:40	101376/101376	---MCZ	200	added ('OK')	text/html	date:Fri,%2020%20Aug%202021%2018:22:40%20GMT	https://www.gymbox.com/join-us	A:/work/clone/www.gymbox.com/join-us.html	(from https://www.gymbox.com/)
23:52:41	113038/113038	---MCZ	200	added ('OK')	text/html	date:Fri,%2020%20Aug%202021%2018:22:41%20GMT	https://www.gymbox.com/member-safety	A:/work/clone/www.gymbox.com/member-safety.html	(from https://www.gymbox.com/)
23:52:43	105857/105857	---MCZ	200	added ('OK')	text/html	date:Fri,%2020%20Aug%202021%2018:22:43%20GMT	https://www.gymbox.com/personal-training	A:/work/clone/www.gymbox.com/personal-training.html	(from https://www.gymbox.com/)
23:52:44	109440/109440	---MCZ	200	added ('OK')	text/html	date:Fri,%2020%20Aug%202021%2018:22:44%20GMT	https://www.gymbox.com/about	A:/work/clone/www.gymbox.com/about.html	(from https://www.gymbox.com/)
23:52:44	109255/109255	---MCZ	200	added ('OK')	text/html	date:Fri,%2020%20Aug%202021%2018:22:44%20GMT	https://www.gymbox.com/careers	A:/work/clone/www.gymbox.com/careers.html	(from https://www.gymbox.com/)
23:52:45	114107/114107	---MCZ	200	added ('OK')	text/html	date:Fri,%2020%20Aug%202021%2018:22:45%20GMT	https://www.gymbox.com/corporate	A:/work/clone/www.gymbox.com/corporate.html	(from https://www.gymbox.com/)
23:52:46	123550/123550	---MCZ	200	added ('OK')	text/html	date:Fri,%2020%20Aug%202021%2018:22:46%20GMT	https://www.gymbox.com/blog	A:/work/clone/www.gymbox.com/blog.html	(from https://www.gymbox.com/)
23:52:47	97519/97519	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2020%20Aug%202021%2018:22:47%20GMT	https://www.gymbox.com/'https://assets.gymbox.com/images/slideshow/_galleryImage/Pixelwhip-Web-ReEdited.jpg?mtime=20210512095356'	A:/work/clone/www.gymbox.com/'https_/assets.gymbox.com/images/slideshow/_galleryImage/Pixelwhip-Web-ReEdited930c.jpg	(from https://www.gymbox.com/)
23:52:48	96172/96172	---MCZ	200	added ('OK')	text/html	date:Fri,%2020%20Aug%202021%2018:22:49%20GMT	https://www.gymbox.com/classes/pixel-whip	A:/work/clone/www.gymbox.com/classes/pixel-whip.html	(from https://www.gymbox.com/)
23:52:50	97519/97519	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2020%20Aug%202021%2018:22:50%20GMT	https://www.gymbox.com/'https://assets.gymbox.com/images/slideshow/_galleryImage/TRAPEZE-updated.jpg?mtime=20210430090514'	A:/work/clone/www.gymbox.com/'https_/assets.gymbox.com/images/slideshow/_galleryImage/TRAPEZE-updated1c86.jpg	(from https://www.gymbox.com/)
23:52:53	97107/97107	---MCZ	200	added ('OK')	text/html	date:Fri,%2020%20Aug%202021%2018:22:52%20GMT	https://www.gymbox.com/classes/trapeze	A:/work/clone/www.gymbox.com/classes/trapeze.html	(from https://www.gymbox.com/)
